epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.064,0.91031,1.70149,1.20281,0.75475,0.273,0.28121,0.24243,0.59803,1.29684,0.88452,0.000330864,0.000330864,0.000330864
2,194.698,0.67641,1.00302,1.02151,0.45341,0.40356,0.37939,0.33262,0.55827,1.07024,0.87052,0.000657622,0.000657622,0.000657622
3,298.696,0.65045,0.90688,0.99825,0.66102,0.32292,0.37024,0.31343,0.59552,0.84081,0.90358,0.00097778,0.00097778,0.00097778
4,396.611,0.6426,0.88203,0.99568,0.65025,0.32818,0.3549,0.31101,0.52065,0.81726,0.8529,0.0009703,0.0009703,0.0009703
5,490.831,0.61077,0.81957,0.98674,0.70296,0.36859,0.42512,0.37115,0.55246,0.7482,0.86762,0.0009604,0.0009604,0.0009604
6,706.329,0.59219,0.79519,0.96259,0.40278,0.44941,0.43576,0.37947,0.53022,0.77359,0.86042,0.0009505,0.0009505,0.0009505
7,805.079,0.60074,0.77509,0.97657,0.69267,0.42025,0.44718,0.39758,0.50286,0.65891,0.84126,0.0009406,0.0009406,0.0009406
8,909.822,0.58279,0.77757,0.96634,0.57113,0.36185,0.42434,0.37765,0.51377,0.70907,0.85012,0.0009307,0.0009307,0.0009307
9,1030.65,0.57807,0.72183,0.95667,0.56472,0.44554,0.47591,0.42277,0.53352,0.63026,0.86149,0.0009208,0.0009208,0.0009208
10,1145.42,0.58683,0.72852,0.9623,0.55923,0.55592,0.48081,0.42395,0.52891,0.66246,0.85789,0.0009109,0.0009109,0.0009109
11,1251,0.57883,0.70928,0.96768,0.64054,0.50803,0.54397,0.47613,0.52733,0.5618,0.85429,0.000901,0.000901,0.000901
12,1357.25,0.55788,0.70112,0.95,0.70895,0.50984,0.54713,0.48908,0.49583,0.60173,0.83219,0.0008911,0.0008911,0.0008911
13,1472.07,0.55629,0.66889,0.94314,0.66224,0.5119,0.555,0.48699,0.52113,0.55342,0.84526,0.0008812,0.0008812,0.0008812
14,1587.59,0.55174,0.69256,0.94828,0.67745,0.52577,0.57852,0.51288,0.49956,0.55908,0.83807,0.0008713,0.0008713,0.0008713
15,1716.74,0.54691,0.65921,0.94264,0.68685,0.55784,0.56946,0.50782,0.48135,0.51407,0.82956,0.0008614,0.0008614,0.0008614
